site	activeusers	admins	articles	edits	files	pages	users
kn.wikisource	16	2	7355	244463	6	91502	7488
kv.wikipedia	16	1	5530	143623	0	18104	14875
mad.wikipedia	16	2	1218	16598	0	2416	2739
my.wiktionary	16	2	125068	936571	0	130342	9517
nl.wikiquote	16	4	1162	92721	1	5797	15912
ru.wikiversity	16	4	4243	159806	511	21784	34634
sr.wiktionary	16	4	227533	702695	0	257750	15787
szy.wikipedia	16	1	2667	136514	0	5970	3174
totalclosed.wikipedia	16	14	30	310696	0	5990	57823
csb.wikipedia	15	3	5461	188470	0	8795	17179
el.wikisource	15	6	12541	155439	4	41611	19925
gag.wikipedia	15	1	2803	69390	0	6649	14617
gcr.wikipedia	15	1	1071	17306	0	2653	3240
hi.wiktionary	15	2	184183	481427	6	206671	17697
hy.wikisource	15	3	15797	353265	64	124027	12466
inh.wikipedia	15	2	2203	65697	35	14142	4587
jam.wikipedia	15	1	1721	21845	0	3088	9133
kg.wikipedia	15	1	1294	45554	0	3496	11246
ksh.wikipedia	15	3	2984	1608648	0	10666	23109
kw.wikipedia	15	2	7045	216172	6	14556	15990
lg.wikipedia	15	2	3086	32557	0	7068	8791
new.wikipedia	15	2	72352	866993	0	164836	27912
oc.wiktionary	15	2	69471	394540	2	85279	5173
pl.wikibooks	15	3	6880	487644	932	42297	36919
shi.wikipedia	15	2	1846	48934	0	5119	4060
shn.wikipedia	15	2	13559	63723	71	31946	4518
sr.wikisource	15	4	42729	137122	362	47121	14974
tw.wikipedia	15	2	3837	119902	0	7347	15888
za.wikipedia	15	2	2903	41963	0	5342	11045
az.wiktionary	14	3	56018	370214	1	65732	10716
bbc.wikipedia	14	1	762	9778	0	1219	812
be.wikisource	14	2	21805	200984	0	81486	4476
bi.wikipedia	14	1	1455	43042	0	3396	13661
bjn.wiktionary	14	2	2558	9207	0	3024	441
blk.wikipedia	14	1	2644	29375	0	7072	1603
bm.wikipedia	14	1	827	41333	0	3287	11274
bug.wikipedia	14	1	15838	202558	0	20114	13642
et.wiktionary	14	5	158062	1176040	2	171985	11449
jbo.wikipedia	14	1	1333	112518	0	5763	17083
kcg.wikipedia	14	2	1004	30967	0	5150	1588
km.wiktionary	14	1	5832	112383	106	47620	4999
la.wiktionary	14	1	36578	224924	44	49588	14537
pdc.wikipedia	14	1	2010	106090	0	5937	33863
pt.wikivoyage	14	1	3997	139621	0	10698	17401
sl.wikisource	14	5	17912	219566	346	35624	9646
tet.wikipedia	14	2	1365	68194	0	3897	9959
avk.wikipedia	13	6	29157	144317	0	35517	5502
bn.wikivoyage	13	3	964	33237	0	3397	3637
br.wiktionary	13	1	50416	347968	39	60627	5135
ee.wikipedia	13	2	846	55757	0	3791	14983
gl.wiktionary	13	2	82853	730105	74	100317	7023
hr.wikiquote	13	2	2149	32783	4	4089	5794
ik.wikipedia	13	1	592	39707	0	2837	9048
ja.wikiquote	13	2	1068	40447	3	4824	21282
kbd.wikipedia	13	2	1638	47754	0	7081	10256
kn.wiktionary	13	2	264493	675076	0	268511	7330
map-bms.wikipedia	13	1	13919	220110	461	30374	17157
mdf.wikipedia	13	3	5146	81960	0	18062	9863
nah.wikipedia	13	3	4411	521076	168	13461	22678
olo.wikipedia	13	2	4368	35922	0	12484	7236
pih.wikipedia	13	1	918	44879	0	3377	12083
rmy.wikipedia	13	1	801	53682	0	2932	17962
ro.wikisource	13	3	14179	137465	227	38158	20664
roa-rup.wikipedia	13	1	1368	207921	0	4514	14324
sk.wiktionary	13	4	34326	179940	2	37170	6820
vi.wikivoyage	13	1	1934	110162	0	61227	11055
wa.wiktionary	13	3	32215	397004	73	48501	4237
ady.wikipedia	12	1	558	14787	0	3970	7638
az.wikibooks	12	3	3366	41069	1	8776	12287
bn.wikibooks	12	2	688	60208	1	15103	9507
ca.wikisource	12	4	9663	170939	5	50707	10981
da.wiktionary	12	3	43455	323038	0	57067	13186
din.wikipedia	12	1	331	8677	0	1128	6542
dty.wikipedia	12	3	3513	241348	3	20765	6740
eo.wikinews	12	1	1051	168047	0	10234	3978
he.wikibooks	12	6	4690	173821	1709	18885	24444
ja.wikiversity	12	3	197	20428	0	3196	18112
ki.wikipedia	12	1	1756	21793	0	3435	9092
krc.wikipedia	12	1	2095	109292	0	14450	10701
myv.wikipedia	12	4	7877	149594	0	29997	13302
no.wikisource	12	2	7438	230132	825	90740	5648
stq.wikipedia	12	4	4118	123002	429	10815	13677
sv.wikibooks	12	4	1191	55328	196	6316	12257
sw.wiktionary	12	1	14388	133300	0	17137	4306
th.wikiquote	12	3	336	53860	0	8078	5858
ti.wikipedia	12	1	296	24734	0	2911	9811
tr.wikivoyage	12	3	450	13742	0	2964	1812
udm.wikipedia	12	2	5688	126105	9	19223	15443
af.wiktionary	11	2	22810	215267	966	30209	7926
arc.wikipedia	11	2	1901	96407	0	6534	21069
ca.wikinews	11	4	4795	177401	0	14674	10020
ca.wikiquote	11	4	3978	138661	8	12348	14889
dga.wikipedia	11	2	1482	27373	0	2458	547
got.wikipedia	11	1	896	46863	0	3762	20098
gpe.wikipedia	11	2	1054	28283	0	4147	1241
gur.wikipedia	11	1	886	15109	0	2330	1109
kk.wiktionary	11	1	14303	107989	8	17088	3969
lo.wiktionary	11	3	28868	461143	1	50526	3945
mr.wikisource	11	2	4664	206319	15	100673	5295
ms.wikisource	11	0	185	6613	0	1257	487
nia.wiktionary	11	3	5038	28517	0	8151	803
nov.wikipedia	11	2	1636	179047	0	4554	12151
ny.wikipedia	11	3	1031	42156	0	4712	10821
pag.wikipedia	11	1	2580	77544	0	6625	8569
pwn.wikipedia	11	1	352	12311	0	552	1764
sm.wikipedia	11	1	1106	43538	0	3450	10727
sv.wikivoyage	11	3	1573	92261	0	10678	11811
awa.wikipedia	10	1	2471	26353	0	5684	3174
ca.wikibooks	10	3	2211	74992	14	7968	10165
cs.wikibooks	10	3	1525	53483	27	5443	10957
eo.wikisource	10	2	6535	93831	27	27738	4818
gu.wikisource	10	2	62518	210151	0	68208	4009
hi.wikivoyage	10	1	131	7845	0	647	2064
hu.wikibooks	10	3	41203	468695	21353	99442	14897
kbp.wikipedia	10	2	1710	18056	0	3410	4773
lt.wikiquote	10	2	2969	83481	2	6373	4930
ml.wiktionary	10	3	131284	555090	4	139066	9576
mnw.wikipedia	10	3	1918	43557	0	6559	3853
mnw.wiktionary	10	1	48387	93365	0	70765	1416
nia.wikipedia	10	3	1685	22538	0	4192	1946
nqo.wikipedia	10	2	1496	11512	0	3262	4204
pfl.wikipedia	10	4	2756	91002	0	6960	12126
pnt.wikipedia	10	1	494	35608	0	2074	10753
sk.wikiquote	10	2	4508	99592	2	7411	7525
srn.wikipedia	10	1	1121	39669	0	2706	7971
te.wiktionary	10	2	106563	967554	931	122555	6282
tpi.wikipedia	10	1	1373	87498	0	5730	13918
uk.wikibooks	10	2	1146	38302	55	3853	8601
ur.wiktionary	10	1	26649	111841	2	33599	5271
alt.wikipedia	9	4	1095	46420	0	6176	3016
anp.wikipedia	9	2	1643	19748	0	4605	1733
be.wiktionary	9	2	5207	52802	0	9316	4925
ckb.wiktionary	9	3	3071	29662	0	10060	506
cy.wiktionary	9	1	26424	166225	7	29631	7096
da.wikiquote	9	3	165	19106	1	2072	9707
fi.wikibooks	9	4	4831	153580	345	15458	11396
fj.wikipedia	9	1	1296	35883	0	3676	9450
he.wikinews	9	3	271	49206	54	5767	5056
ig.wikiquote	9	1	867	18774	0	5277	760
io.wiktionary	9	2	322865	2871398	4	354851	8635
kl.wikipedia	9	3	243	75229	0	2300	13801
ko.wikibooks	9	2	1274	43349	23	6749	8461
koi.wikipedia	9	1	3461	61967	0	12313	8822
li.wikiquote	9	2	1474	7115	0	3118	2421
ltg.wikipedia	9	1	1081	36649	0	3352	7650
mrj.wikipedia	9	1	10432	105755	0	20015	11035
no.wikiquote	9	1	363	27740	3	3052	5432
roa-tara.wikipedia	9	3	9486	149525	169	18873	11796
sg.wikipedia	9	2	323	21020	0	2003	6828
su.wikisource	9	2	257	25875	0	6196	671
tay.wikipedia	9	1	2571	58664	0	3122	1894
te.wikiquote	9	1	697	22245	2	4005	2765
te.wikisource	9	4	19144	434121	545	143525	6033
th.wikibooks	9	5	1597	64093	287	16252	12106
trv.wikipedia	9	1	1170	98952	0	2107	2074
ty.wikipedia	9	1	1221	53532	0	3015	7686
zh-yue.wiktionary	9	1	7168	26864	0	10036	3662
af.wikiquote	8	1	35	10418	0	1303	3017
an.wiktionary	8	1	2768	32468	2	6128	3245
bcl.wiktionary	8	2	3789	37079	0	10526	972
bg.wikiquote	8	3	2321	90694	5	11246	10939
da.wikisource	8	1	3467	79253	14	32103	10379
el.wikivoyage	8	1	1439	27155	1	2771	5195
eu.wiktionary	8	2	54673	409871	3	63377	6309
eu.wikibooks	8	1	2054	39433	79	4619	2356
fat.wikipedia	8	3	548	10341	0	1508	951
fi.wikiquote	8	3	3415	99130	2	7060	9251
fi.wikivoyage	8	1	1792	56857	0	3927	3087
hr.wiktionary	8	2	33666	269385	5	41697	10048
hu.wikiquote	8	3	1366	56102	89	5197	15171
is.wiktionary	8	4	63837	334413	4	69512	8397
jv.wikisource	8	1	2326	47858	149	14385	1274
kaa.wiktionary	8	0	25	17671	0	5607	89
ko.wikinews	8	2	622	29927	1	4085	4988
lt.wiktionary	8	4	618907	1819054	18	693580	12232
lt.wikibooks	8	1	2616	35140	210	6849	3329
ml.wikisource	8	3	20482	218694	605	72953	12277
mn.wiktionary	8	1	9421	250246	86	47214	7149
zh-min-nan.wiktionary	8	1	22120	162787	1	24676	4632
pi.wikipedia	8	1	2554	102250	1	4662	7514
sg.wiktionary	8	2	86993	300308	1	99472	2916
si.wiktionary	8	2	2543	164988	8	110533	3233
sl.wikiversity	8	3	850	80921	101	3742	4274
sr.wikinews	8	6	53064	3165012	0	81030	6618
sv.wikiquote	8	2	1538	36235	1	4004	12759
vi.wikibooks	8	2	49875	509026	1009	90567	18302
xal.wikipedia	8	1	1754	90220	0	12023	10284
ast.wiktionary	7	1	61502	328337	0	69842	5176
bew.wikipedia	7	0	0	16	0	12	171
br.wikisource	7	3	9740	183501	0	60515	2603
bs.wiktionary	7	4	9736	71094	0	13355	3643
eo.wikiquote	7	3	5226	49885	1	10737	5233
fi.wikisource	7	4	13165	126035	53	20197	7292
is.wikiquote	7	1	133	12709	1	1280	2519
ka.wiktionary	7	2	16602	124549	8	21307	6062
lbe.wikipedia	7	1	1270	51963	0	15552	8663
li.wiktionary	7	3	118940	861821	13	128932	4980
rn.wikipedia	7	1	650	23850	0	2557	10067
ro.wikiquote	7	2	259	22810	16	3466	6469
shn.wikivoyage	7	2	176	7596	0	2002	496
tl.wiktionary	7	1	16326	161661	15	27124	5207
to.wikipedia	7	2	2015	43369	12	5486	10934
uz.wikiquote	7	4	321	8207	2	1895	2296
yi.wiktionary	7	1	721	17306	20	3181	17815
chr.wiktionary	6	1	319	778871	1	1291	10481
cy.wikisource	6	3	6959	98476	3	45410	3670
da.wikibooks	6	1	1341	37971	0	4334	7611
el.wikiquote	6	1	1845	35433	2	3989	8915
fa.wikinews	6	2	1621	254015	30	19564	7504
gl.wikiquote	6	1	551	22110	0	2988	3357
guw.wiktionary	6	2	1459	17531	0	1873	397
ka.wikiquote	6	1	182	31715	25	4445	5042
kus.wikipedia	6	0	0	42	0	8	110
lb.wiktionary	6	2	10208	130555	106	17547	3497
lv.wiktionary	6	1	11326	93396	1	14752	5707
ro.wikivoyage	6	2	914	21692	0	2705	3351
scn.wiktionary	6	3	18791	166522	22	27976	5357
shn.wiktionary	6	2	36724	95514	0	43560	784
sl.wikiquote	6	2	2953	42372	0	7368	5472
sq.wiktionary	6	2	10117	150940	0	46347	6670
sv.wikinews	6	3	2077	42566	1	8641	6721
sv.wikiversity	6	1	651	24409	1	2739	8318
ta.wikiquote	6	1	982	38236	8	3955	4341
tg.wiktionary	6	1	25405	121386	0	37050	3356
am.wiktionary	5	1	470	20845	0	2139	3347
ang.wiktionary	5	1	2199	54303	2	3912	6321
ay.wiktionary	5	1	1153	16896	0	2066	2918
ban.wikisource	5	1	4643	114318	0	33372	1229
blk.wiktionary	5	1	2457	10653	0	3283	285
bs.wikisource	5	1	612	11867	62	3268	3214
co.wiktionary	5	2	9521	75658	17	11385	4463
cs.wikinews	5	2	8474	84715	1	17301	6700
el.wikibooks	5	1	252	56167	1166	3906	7728
eo.wikibooks	5	2	548	25725	452	3514	4202
guw.wikiquote	5	1	529	5088	0	973	461
hr.wikisource	5	3	9410	60516	434	15016	6714
hu.wikisource	5	4	21723	101682	34	38697	11595
jv.wiktionary	5	1	61084	156919	1	73259	4313
ka.wikisource	5	0	779	5590	0	924	183
kcg.wiktionary	5	3	752	30596	0	1283	332
ko.wikiversity	5	2	315	35107	21	3118	4047
la.wikibooks	5	4	177	10477	0	1372	2701
mni.wiktionary	5	2	2574	9529	0	2966	539
ps.wiktionary	5	1	25579	81947	2	28686	2768
ro.wikinews	5	3	1473	37885	0	7511	12002
sh.wiktionary	5	3	914770	1470473	3	916512	9384
shy.wiktionary	5	1	3888	18371	0	4267	970
sk.wikibooks	5	3	503	21534	6	2149	3646
sk.wikisource	5	2	487	9176	1	1495	3607
skr.wiktionary	5	3	148300	231855	0	150750	918
so.wiktionary	5	1	2377	27311	0	7144	4837
su.wiktionary	5	1	3523	19808	1	4672	2343
te.wikibooks	5	1	150	24000	5	1087	3032
tk.wiktionary	5	1	4708	27499	0	5805	2857
tl.wikiquote	5	1	499	30245	0	4298	461
tpi.wiktionary	5	1	553	13864	0	2291	4395
ur.wikiquote	5	2	519	11977	9	2953	2673
af.wikibooks	4	1	33	7372	0	1144	2616
ak.wikipedia	4	1	0	29876	0	1708	13692
be.wikibooks	4	1	128	7596	0	1059	3707
bjn.wikiquote	4	3	502	3452	0	753	224
diq.wiktionary	4	2	7109	77861	0	14498	723
eu.wikiquote	4	1	263	12008	0	1294	2789
fi.wikinews	4	1	1514	58028	1	5705	4633
fi.wikiversity	4	1	631	51671	65	3728	4987
ga.wiktionary	4	2	3102	58737	28	6235	9812
ig.wiktionary	4	1	349	21118	0	4696	735
is.wikibooks	4	4	509	34864	28	3172	4116
kbd.wiktionary	4	1	35246	93983	0	39623	337
ky.wiktionary	4	1	30365	192275	0	77007	4652
lmo.wiktionary	4	3	34684	277651	0	36815	879
ml.wikiquote	4	2	315	21892	1	3432	5242
mr.wikiquote	4	1	44	8855	1	926	2330
my.wikisource	4	0	0	7	0	7	55
nn.wiktionary	4	2	12198	80402	1	14122	3573
or.wikisource	4	1	1241	56584	0	11572	2592
si.wikibooks	4	2	714	26043	60	10126	3509
sl.wiktionary	4	2	23219	170238	0	33565	7377
sq.wikinews	4	1	740	8985	0	2361	2368
uk.wikinews	4	4	1956	47156	0	7448	6744
zu.wiktionary	4	1	1136	14581	0	1990	3525
donate.wikimedia	4	7	144	39739	1272	5498	56
bcl.wikiquote	3	1	108	18701	0	1845	521
be.wikiquote	3	1	460	13278	0	2145	4442
bs.wikinews	3	1	363	24070	0	4980	2830
csb.wiktionary	3	1	1675	35737	0	2735	2756
dv.wiktionary	3	1	230	9219	2	1291	2446
eu.wikisource	3	1	1367	26271	0	6377	1216
fo.wiktionary	3	1	2163	24542	0	3600	2672
fy.wiktionary	3	1	14538	155704	13	20298	3729
gor.wiktionary	3	2	10214	23830	0	10586	430
hi.wikiversity	3	2	322	23577	3	3480	2066
hif.wiktionary	3	2	1331	15303	0	1993	1114
ia.wiktionary	3	1	2351	45476	5	9398	3412
ie.wiktionary	3	1	1721	15985	0	3269	2632
iu.wiktionary	3	1	325	10962	0	1064	5288
kk.wikibooks	3	1	147	9097	1	1579	3142
ku.wikiquote	3	1	247	11913	1	1150	3960
lrc.wikipedia	3	2	1	140069	0	238	5040
mk.wiktionary	3	2	4580	50997	0	6638	3073
mr.wiktionary	3	1	2703	29203	3	6154	3649
na.wikipedia	3	1	0	89987	0	1807	12086
nah.wiktionary	3	1	7057	72866	1	10109	2911
nap.wikisource	3	3	12752	88993	0	14401	2259
nds.wiktionary	3	2	10146	141205	16	38358	3971
ne.wikibooks	3	1	78	17568	5	2003	4569
no.wikibooks	3	1	968	45393	6	4835	5288
om.wiktionary	3	1	23374	40631	0	24384	2996
or.wiktionary	3	2	108635	228306	1	110844	2913
pms.wikisource	3	1	4304	31608	0	5162	1099
qu.wiktionary	3	1	345	13507	2	1563	2231
ro.wikibooks	3	2	455	36476	164	4416	7682
sl.wikibooks	3	3	237	19976	530	1969	4426
sq.wikibooks	3	2	3282	35277	308	7661	4975
sr.wikibooks	3	4	1107	22764	156	3223	13275
su.wikiquote	3	1	2336	11813	9	3514	1928
ta.wikibooks	3	1	714	17903	255	3775	6847
ta.wikinews	3	1	3051	55198	0	17630	7364
tt.wiktionary	3	1	2182	79392	1	9222	3039
tt.wikibooks	3	1	270	7347	43	1639	2146
vec.wikisource	3	3	5186	74898	1	16069	4372
vo.wiktionary	3	1	23467	204152	1	25903	3177
yi.wikisource	3	1	2631	20415	1056	5460	3078
ba.wikibooks	2	2	1216	25103	0	3584	1321
bg.wikibooks	2	1	313	16111	62	2032	5347
br.wikiquote	2	1	50	5440	0	917	2080
bs.wikibooks	2	1	32	7054	10	751	2504
cy.wikiquote	2	1	369	8517	0	1409	2660
el.wikiversity	2	1	444	30861	86	4430	7298
et.wikisource	2	2	3253	59191	48	22689	3700
fj.wiktionary	2	1	31356	178271	0	32192	5552
fo.wikisource	2	1	9	3499	0	554	2282
gd.wiktionary	2	1	2932	85512	0	12280	3758
gl.wikibooks	2	1	1163	19969	109	3236	2876
gl.wikisource	2	2	693	21288	64	3708	3427
gn.wiktionary	2	1	1788	14703	1	2724	2716
gu.wikiquote	2	1	548	18342	0	2926	2605
hr.wikibooks	2	2	981	21158	182	3653	4563
hsb.wiktionary	2	1	4226	16560	0	5494	2739
is.wikisource	2	2	4793	23691	9	6664	3258
jbo.wiktionary	2	1	1377	13860	0	2299	3213
kn.wikiquote	2	1	261	9288	0	1099	2094
kr.wikipedia	2	1	0	4641	0	161	5470
kw.wiktionary	2	1	526	13141	0	1165	3091
li.wikinews	2	2	2623	26254	0	4102	805
lij.wikisource	2	1	4011	42177	0	14904	902
ln.wiktionary	2	1	765	11505	0	1445	4425
mg.wikibooks	2	1	24	4833	0	519	1779
mi.wiktionary	2	1	1718	17030	0	2970	6470
min.wiktionary	2	2	12167	31037	0	13050	991
ml.wikibooks	2	1	106	18019	30	3362	4319
ms.wikibooks	2	2	308	11661	92	2080	3104
mt.wiktionary	2	1	2193	20829	2	3638	2379
na.wiktionary	2	1	621	13626	0	1622	3753
zh-min-nan.wikisource	2	1	54	10087	2	3396	2571
ne.wiktionary	2	1	432	63621	23	16737	4682
no.wikinews	2	1	624	21360	2	4143	3923
oc.wikibooks	2	1	98	5742	1	746	1849
pnb.wiktionary	2	1	9314	24722	0	10288	2021
ps.wikivoyage	2	1	319	6875	0	911	843
sa.wiktionary	2	1	6025	509114	4	263433	6674
sa.wikiquote	2	1	134	18089	0	4763	2361
sah.wikiquote	2	1	1073	8330	0	1755	884
sah.wikisource	2	1	595	7575	2	1654	2045
sd.wiktionary	2	1	2190	29148	39	7143	2298
shn.wikibooks	2	2	148	10509	0	4363	333
sm.wiktionary	2	1	4317	63991	0	8412	3558
sq.wikiquote	2	2	319	25176	2	3169	2840
ss.wiktionary	2	2	325	10316	0	1364	4098
st.wiktionary	2	1	1374	16273	2	2318	5039
tg.wikibooks	2	1	56	3572	0	867	1823
tl.wikibooks	2	1	231	28539	4	2376	5002
tn.wiktionary	2	2	132	8614	0	991	3664
ur.wikibooks	2	2	223	8957	37	1562	3631
vec.wiktionary	2	1	4967	37639	1	6814	2694
wa.wikisource	2	2	2219	33282	0	5884	727
aa.wikipedia	1	1	0	4691	0	511	4069
bg.wikisource	1	3	2286	18237	9	3977	5681
btm.wiktionary	1	2	3047	11358	0	3156	291
cv.wikibooks	1	1	67	7076	5	723	2064
el.wikinews	1	1	3064	66066	0	12817	3629
et.wikibooks	1	1	132	19831	129	1617	2828
fy.wikibooks	1	1	41	5103	7	613	2338
gom.wiktionary	1	2	2721	24746	0	3059	810
gu.wiktionary	1	1	659	29007	0	6392	3193
gv.wiktionary	1	1	590	14084	1	1538	2672
hy.wikibooks	1	1	76	10714	35	1788	5259
hz.wikipedia	1	1	0	4483	0	175	3766
ia.wikibooks	1	1	118	5947	0	830	2068
ka.wikibooks	1	1	288	18793	1330	5173	5005
kl.wiktionary	1	1	1176	24217	2	2787	2475
ks.wiktionary	1	3	3900	28603	0	6060	3541
ku.wikibooks	1	1	45	6832	0	600	2035
ky.wikiquote	1	1	1	4075	0	489	1949
la.wikiquote	1	1	997	13769	1	2267	3701
li.wikibooks	1	1	241	3119	1	1183	1427
li.wikisource	1	1	1885	7212	1	3366	2077
lt.wikisource	1	2	1756	12028	1	3136	3497
mk.wikibooks	1	1	313	12882	23	1965	3239
mk.wikisource	1	2	2980	20695	4	7698	3500
mr.wikibooks	1	1	160	13632	1	1794	3304
mus.wikipedia	1	1	1	3603	0	114	2353
ng.wikipedia	1	1	8	5927	0	442	2390
nn.wikiquote	1	2	1755	19160	2	4114	2997
pa.wiktionary	1	1	15449	34971	0	16593	2642
pa.wikibooks	1	1	78	5971	0	1145	2010
roa-rup.wiktionary	1	1	1308	15969	0	2027	2502
rw.wiktionary	1	1	399	12621	0	1191	4494
sa.wikibooks	1	1	842	7371	0	1691	2740
ti.wiktionary	1	1	151	9300	0	1177	2332
tr.wikinews	1	1	1184	275633	10	10662	5754
ts.wiktionary	1	1	392	9309	0	1041	3025
ug.wiktionary	1	1	1579	31032	0	3722	2809
wo.wiktionary	1	1	2623	26588	5	4298	2459
totalclosed.wikinews	1	5	2151	340724	11	23583	11934
aa.wiktionary	0	1	0	6805	0	101	587
aa.wikibooks	0	1	0	3421	0	79	722
ab.wiktionary	0	1	0	8982	0	248	590
ak.wiktionary	0	1	0	4364	0	79	679
ak.wikibooks	0	1	0	3425	0	92	460
am.wikiquote	0	1	2	5022	0	409	995
ang.wikibooks	0	1	153	5824	203	1239	1972
ang.wikiquote	0	1	13	5026	1	511	868
ang.wikisource	0	1	1	1668	0	39	722
as.wiktionary	0	1	16	4958	0	257	578
as.wikibooks	0	1	0	3429	0	71	427
ast.wikibooks	0	1	5	3984	6	272	716
ast.wikiquote	0	1	15	4931	0	296	649
av.wiktionary	0	1	0	4862	0	72	511
ay.wikibooks	0	1	0	6000	0	45	401
bg.wikinews	0	1	435	25335	1	4045	2926
bh.wiktionary	0	1	0	4856	0	230	512
bi.wiktionary	0	1	0	4798	0	215	473
bi.wikibooks	0	1	0	3252	0	54	399
bm.wiktionary	0	2	0	4137	0	86	445
bm.wikibooks	0	2	0	3996	0	54	386
bm.wikiquote	0	2	0	3091	0	56	411
bo.wiktionary	0	1	0	4786	0	168	479
bo.wikibooks	0	1	0	3512	2	77	416
ch.wiktionary	0	1	0	3445	0	67	496
ch.wikibooks	0	1	0	3317	0	60	385
cho.wikipedia	0	1	6	4220	0	200	1814
co.wikibooks	0	2	4	4610	3	252	646
co.wikiquote	0	2	2	3820	0	206	545
cr.wiktionary	0	1	0	3355	0	73	470
cr.wikiquote	0	1	0	3380	0	55	358
cy.wikibooks	0	1	29	5109	0	686	2134
dz.wiktionary	0	1	0	4877	0	229	462
ga.wikibooks	0	1	0	4080	0	70	436
ga.wikiquote	0	1	1	5021	0	84	404
gn.wikibooks	0	1	0	4725	0	48	411
got.wikibooks	0	1	4	3291	0	65	408
gu.wikibooks	0	1	0	3635	0	86	507
guw.wikinews	0	2	954	19032	0	1613	295
ho.wikipedia	0	1	3	3786	0	128	1580
ht.wikisource	0	2	12	2081	2	115	497
hu.wikinews	0	1	494	29613	0	5220	1429
ie.wikibooks	0	2	41	5125	0	559	1215
ii.wikipedia	0	1	3	11653	0	188	2035
ik.wiktionary	0	1	143	6795	0	606	1096
kj.wikipedia	0	1	4	3548	0	113	1382
kk.wikiquote	0	1	1	2563	0	136	464
km.wikibooks	0	2	183	9848	15	1045	2845
kn.wikibooks	0	1	2	3764	7	157	557
kr.wikiquote	0	1	0	3236	0	26	329
ks.wikibooks	0	2	0	3450	0	64	374
ks.wikiquote	0	2	0	4230	0	51	363
kw.wikiquote	0	1	0	4184	0	53	354
ky.wikibooks	0	1	16	4994	5	536	2896
lb.wikibooks	0	2	0	3561	0	132	515
lb.wikiquote	0	2	10	5089	0	335	655
ln.wikibooks	0	2	0	3492	0	88	379
lv.wikibooks	0	1	82	4795	4	361	655
mh.wikipedia	0	1	4	4212	0	205	2146
mh.wiktionary	0	1	0	3363	0	54	409
mi.wikibooks	0	1	0	3486	0	74	424
mn.wikibooks	0	1	0	3771	0	207	648
my.wikibooks	0	1	0	3461	0	73	483
na.wikibooks	0	1	1	3758	0	247	573
na.wikiquote	0	1	0	4297	0	48	341
nah.wikibooks	0	1	3	4684	0	72	427
zh-min-nan.wikibooks	0	1	16	6227	4	407	870
zh-min-nan.wikiquote	0	1	6	6324	0	437	802
nds.wikibooks	0	1	1	3296	0	189	589
nds.wikiquote	0	1	0	2993	0	31	347
pi.wiktionary	0	1	1	3323	0	53	469
ps.wikibooks	0	1	1	3596	0	139	501
qu.wikibooks	0	1	4	4750	1	76	441
qu.wikiquote	0	1	0	4677	0	32	327
rm.wiktionary	0	2	0	4821	0	122	463
rm.wikibooks	0	2	0	3238	0	49	412
rn.wiktionary	0	1	0	4703	0	62	487
sc.wiktionary	0	1	0	6064	0	94	493
sd.wikinews	0	1	13	5730	0	2095	784
se.wikibooks	0	2	0	3471	0	81	435
simple.wikibooks	0	1	330	17495	5	2623	3771
simple.wikiquote	0	1	588	34198	5	5942	2696
sn.wiktionary	0	1	0	4954	0	233	392
su.wikibooks	0	1	2	4686	0	339	786
sw.wikibooks	0	1	9	3573	0	208	585
th.wikinews	0	1	25	4413	0	1561	1041
tk.wikibooks	0	1	0	3751	0	242	576
tk.wikiquote	0	1	0	3382	0	66	396
to.wiktionary	0	1	0	4865	0	216	434
tt.wikiquote	0	1	0	4356	0	68	376
tw.wiktionary	0	1	0	4849	0	225	486
ug.wikibooks	0	1	0	3458	0	82	377
ug.wikiquote	0	1	0	4313	0	65	378
uz.wikibooks	0	3	4	4136	1	394	972
vo.wikibooks	0	1	2	4154	0	298	785
vo.wikiquote	0	1	0	4425	0	71	381
wa.wikibooks	0	2	2	4022	0	129	504
wo.wikiquote	0	2	0	5651	0	535	1519
xh.wiktionary	0	1	0	5146	0	103	480
xh.wikibooks	0	1	1	3524	0	130	505
yo.wiktionary	0	1	0	4931	0	210	433
yo.wikibooks	0	1	0	3585	0	111	508
za.wiktionary	0	1	179	12771	0	550	896
za.wikibooks	0	1	3	11048	0	142	483
za.wikiquote	0	1	0	11815	0	67	402
zu.wikibooks	0	1	1	3802	0	204	606
totalclosed.wikisource	0	3	13	3749	2	154	1219
totalclosed.wiktionary	0	26	339	126810	0	4353	12820
totalclosed.wikiquote	0	28	638	136024	6	9580	14360
totalclosed.wikibooks	0	55	671	195660	236	10441	28648